video_id,sequence,video_frame,sequence_frame,image_id,annotations,NumBBox,bboxes,image_path,fold
0,40258,16,16,0-16,"[{'x': 559, 'y': 213, 'width': 50, 'height': 32}]",1,"[[559, 213, 50, 32]]",/home/dingchaofan/dataset/starfish/data/train_images/video_0/16.jpg,4
0,40258,17,17,0-17,"[{'x': 558, 'y': 213, 'width': 50, 'height': 32}]",1,"[[558, 213, 50, 32]]",/home/dingchaofan/dataset/starfish/data/train_images/video_0/17.jpg,4
0,40258,18,18,0-18,"[{'x': 557, 'y': 213, 'width': 50, 'height': 32}]",1,"[[557, 213, 50, 32]]",/home/dingchaofan/dataset/starfish/data/train_images/video_0/18.jpg,4
0,40258,19,19,0-19,"[{'x': 556, 'y': 214, 'width': 50, 'height': 32}]",1,"[[556, 214, 50, 32]]",/home/dingchaofan/dataset/starfish/data/train_images/video_0/19.jpg,4
0,40258,20,20,0-20,"[{'x': 555, 'y': 214, 'width': 50, 'height': 32}]",1,"[[555, 214, 50, 32]]",/home/dingchaofan/dataset/starfish/data/train_images/video_0/20.jpg,4
0,40258,21,21,0-21,"[{'x': 550, 'y': 214, 'width': 50, 'height': 32}]",1,"[[550, 214, 50, 32]]",/home/dingchaofan/dataset/starfish/data/train_images/video_0/21.jpg,4
0,40258,22,22,0-22,"[{'x': 538, 'y': 209, 'width': 56, 'height': 47}]",1,"[[538, 209, 56, 47]]",/home/dingchaofan/dataset/starfish/data/train_images/video_0/22.jpg,4
0,40258,23,23,0-23,"[{'x': 535, 'y': 207, 'width': 58, 'height': 48}]",1,"[[535, 207, 58, 48]]",/home/dingchaofan/dataset/starfish/data/train_images/video_0/23.jpg,4
0,40258,24,24,0-24,"[{'x': 532, 'y': 205, 'width': 59, 'height': 49}]",1,"[[532, 205, 59, 49]]",/home/dingchaofan/dataset/starfish/data/train_images/video_0/24.jpg,4
0,40258,25,25,0-25,"[{'x': 529, 'y': 200, 'width': 61, 'height': 50}]",1,"[[529, 200, 61, 50]]",/home/dingchaofan/dataset/starfish/data/train_images/video_0/25.jpg,4
0,40258,26,26,0-26,"[{'x': 525, 'y': 196, 'width': 63, 'height': 51}]",1,"[[525, 196, 63, 51]]",/home/dingchaofan/dataset/starfish/data/train_images/video_0/26.jpg,4
