video_id,sequence,video_frame,sequence_frame,image_id,image_path
0,40258,0,0,0-0,/home/dingchaofan/dataset/starfish/data/train_images/video_0/0.jpg
0,40258,1,1,0-1,/home/dingchaofan/dataset/starfish/data/train_images/video_0/1.jpg
0,40258,2,2,0-2,/home/dingchaofan/dataset/starfish/data/train_images/video_0/2.jpg
0,40258,3,3,0-3,/home/dingchaofan/dataset/starfish/data/train_images/video_0/3.jpg
0,40258,4,4,0-4,/home/dingchaofan/dataset/starfish/data/train_images/video_0/4.jpg
0,40258,5,5,0-5,/home/dingchaofan/dataset/starfish/data/train_images/video_0/5.jpg
0,40258,6,6,0-6,/home/dingchaofan/dataset/starfish/data/train_images/video_0/6.jpg
0,40258,7,7,0-7,/home/dingchaofan/dataset/starfish/data/train_images/video_0/7.jpg
0,40258,8,8,0-8,/home/dingchaofan/dataset/starfish/data/train_images/video_0/8.jpg
0,40258,9,9,0-9,/home/dingchaofan/dataset/starfish/data/train_images/video_0/9.jpg
0,40258,10,10,0-10,/home/dingchaofan/dataset/starfish/data/train_images/video_0/10.jpg
0,40258,11,11,0-11,/home/dingchaofan/dataset/starfish/data/train_images/video_0/11.jpg
0,40258,12,12,0-12,/home/dingchaofan/dataset/starfish/data/train_images/video_0/12.jpg
0,40258,13,13,0-13,/home/dingchaofan/dataset/starfish/data/train_images/video_0/13.jpg
0,40258,14,14,0-14,/home/dingchaofan/dataset/starfish/data/train_images/video_0/14.jpg
0,40258,15,15,0-15,/home/dingchaofan/dataset/starfish/data/train_images/video_0/15.jpg
0,40258,180,180,0-180,/home/dingchaofan/dataset/starfish/data/train_images/video_0/180.jpg
0,40258,181,181,0-181,/home/dingchaofan/dataset/starfish/data/train_images/video_0/181.jpg
0,40258,182,182,0-182,/home/dingchaofan/dataset/starfish/data/train_images/video_0/182.jpg
0,40258,183,183,0-183,/home/dingchaofan/dataset/starfish/data/train_images/video_0/183.jpg
0,40258,184,184,0-184,/home/dingchaofan/dataset/starfish/data/train_images/video_0/184.jpg
0,40258,185,185,0-185,/home/dingchaofan/dataset/starfish/data/train_images/video_0/185.jpg
0,40258,186,186,0-186,/home/dingchaofan/dataset/starfish/data/train_images/video_0/186.jpg
0,40258,187,187,0-187,/home/dingchaofan/dataset/starfish/data/train_images/video_0/187.jpg
0,40258,188,188,0-188,/home/dingchaofan/dataset/starfish/data/train_images/video_0/188.jpg
0,40258,189,189,0-189,/home/dingchaofan/dataset/starfish/data/train_images/video_0/189.jpg
0,40258,190,190,0-190,/home/dingchaofan/dataset/starfish/data/train_images/video_0/190.jpg
0,40258,191,191,0-191,/home/dingchaofan/dataset/starfish/data/train_images/video_0/191.jpg
0,40258,192,192,0-192,/home/dingchaofan/dataset/starfish/data/train_images/video_0/192.jpg
0,40258,193,193,0-193,/home/dingchaofan/dataset/starfish/data/train_images/video_0/193.jpg
0,40258,194,194,0-194,/home/dingchaofan/dataset/starfish/data/train_images/video_0/194.jpg
0,40258,195,195,0-195,/home/dingchaofan/dataset/starfish/data/train_images/video_0/195.jpg
0,40258,196,196,0-196,/home/dingchaofan/dataset/starfish/data/train_images/video_0/196.jpg
0,40258,197,197,0-197,/home/dingchaofan/dataset/starfish/data/train_images/video_0/197.jpg
0,40258,198,198,0-198,/home/dingchaofan/dataset/starfish/data/train_images/video_0/198.jpg
0,40258,199,199,0-199,/home/dingchaofan/dataset/starfish/data/train_images/video_0/199.jpg
0,40258,200,200,0-200,/home/dingchaofan/dataset/starfish/data/train_images/video_0/200.jpg
0,40258,201,201,0-201,/home/dingchaofan/dataset/starfish/data/train_images/video_0/201.jpg
0,40258,202,202,0-202,/home/dingchaofan/dataset/starfish/data/train_images/video_0/202.jpg
0,40258,203,203,0-203,/home/dingchaofan/dataset/starfish/data/train_images/video_0/203.jpg
0,40258,204,204,0-204,/home/dingchaofan/dataset/starfish/data/train_images/video_0/204.jpg
0,40258,205,205,0-205,/home/dingchaofan/dataset/starfish/data/train_images/video_0/205.jpg
0,40258,206,206,0-206,/home/dingchaofan/dataset/starfish/data/train_images/video_0/206.jpg
0,40258,207,207,0-207,/home/dingchaofan/dataset/starfish/data/train_images/video_0/207.jpg
0,40258,208,208,0-208,/home/dingchaofan/dataset/starfish/data/train_images/video_0/208.jpg
0,40258,209,209,0-209,/home/dingchaofan/dataset/starfish/data/train_images/video_0/209.jpg
0,40258,210,210,0-210,/home/dingchaofan/dataset/starfish/data/train_images/video_0/210.jpg
0,40258,211,211,0-211,/home/dingchaofan/dataset/starfish/data/train_images/video_0/211.jpg
0,40258,212,212,0-212,/home/dingchaofan/dataset/starfish/data/train_images/video_0/212.jpg
0,40258,213,213,0-213,/home/dingchaofan/dataset/starfish/data/train_images/video_0/213.jpg
0,40258,214,214,0-214,/home/dingchaofan/dataset/starfish/data/train_images/video_0/214.jpg
0,40258,215,215,0-215,/home/dingchaofan/dataset/starfish/data/train_images/video_0/215.jpg
0,40258,216,216,0-216,/home/dingchaofan/dataset/starfish/data/train_images/video_0/216.jpg
0,40258,217,217,0-217,/home/dingchaofan/dataset/starfish/data/train_images/video_0/217.jpg
0,40258,218,218,0-218,/home/dingchaofan/dataset/starfish/data/train_images/video_0/218.jpg
0,40258,219,219,0-219,/home/dingchaofan/dataset/starfish/data/train_images/video_0/219.jpg
0,40258,220,220,0-220,/home/dingchaofan/dataset/starfish/data/train_images/video_0/220.jpg
0,40258,221,221,0-221,/home/dingchaofan/dataset/starfish/data/train_images/video_0/221.jpg
0,40258,222,222,0-222,/home/dingchaofan/dataset/starfish/data/train_images/video_0/222.jpg
0,40258,223,223,0-223,/home/dingchaofan/dataset/starfish/data/train_images/video_0/223.jpg
0,40258,224,224,0-224,/home/dingchaofan/dataset/starfish/data/train_images/video_0/224.jpg
0,40258,225,225,0-225,/home/dingchaofan/dataset/starfish/data/train_images/video_0/225.jpg
0,40258,226,226,0-226,/home/dingchaofan/dataset/starfish/data/train_images/video_0/226.jpg
0,40258,227,227,0-227,/home/dingchaofan/dataset/starfish/data/train_images/video_0/227.jpg
0,40258,228,228,0-228,/home/dingchaofan/dataset/starfish/data/train_images/video_0/228.jpg
0,40258,229,229,0-229,/home/dingchaofan/dataset/starfish/data/train_images/video_0/229.jpg
0,40258,230,230,0-230,/home/dingchaofan/dataset/starfish/data/train_images/video_0/230.jpg
0,40258,231,231,0-231,/home/dingchaofan/dataset/starfish/data/train_images/video_0/231.jpg
0,40258,290,290,0-290,/home/dingchaofan/dataset/starfish/data/train_images/video_0/290.jpg
0,40258,291,291,0-291,/home/dingchaofan/dataset/starfish/data/train_images/video_0/291.jpg
0,40258,292,292,0-292,/home/dingchaofan/dataset/starfish/data/train_images/video_0/292.jpg
0,40258,293,293,0-293,/home/dingchaofan/dataset/starfish/data/train_images/video_0/293.jpg
0,40258,294,294,0-294,/home/dingchaofan/dataset/starfish/data/train_images/video_0/294.jpg
0,40258,295,295,0-295,/home/dingchaofan/dataset/starfish/data/train_images/video_0/295.jpg
0,40258,296,296,0-296,/home/dingchaofan/dataset/starfish/data/train_images/video_0/296.jpg
0,40258,297,297,0-297,/home/dingchaofan/dataset/starfish/data/train_images/video_0/297.jpg
0,40258,298,298,0-298,/home/dingchaofan/dataset/starfish/data/train_images/video_0/298.jpg
0,40258,299,299,0-299,/home/dingchaofan/dataset/starfish/data/train_images/video_0/299.jpg
0,40258,300,300,0-300,/home/dingchaofan/dataset/starfish/data/train_images/video_0/300.jpg
0,40258,301,301,0-301,/home/dingchaofan/dataset/starfish/data/train_images/video_0/301.jpg
0,40258,302,302,0-302,/home/dingchaofan/dataset/starfish/data/train_images/video_0/302.jpg
0,40258,303,303,0-303,/home/dingchaofan/dataset/starfish/data/train_images/video_0/303.jpg
0,40258,304,304,0-304,/home/dingchaofan/dataset/starfish/data/train_images/video_0/304.jpg
0,40258,305,305,0-305,/home/dingchaofan/dataset/starfish/data/train_images/video_0/305.jpg
0,40258,306,306,0-306,/home/dingchaofan/dataset/starfish/data/train_images/video_0/306.jpg
0,40258,307,307,0-307,/home/dingchaofan/dataset/starfish/data/train_images/video_0/307.jpg
0,40258,308,308,0-308,/home/dingchaofan/dataset/starfish/data/train_images/video_0/308.jpg
0,40258,309,309,0-309,/home/dingchaofan/dataset/starfish/data/train_images/video_0/309.jpg
0,40258,310,310,0-310,/home/dingchaofan/dataset/starfish/data/train_images/video_0/310.jpg
0,40258,311,311,0-311,/home/dingchaofan/dataset/starfish/data/train_images/video_0/311.jpg
0,40258,312,312,0-312,/home/dingchaofan/dataset/starfish/data/train_images/video_0/312.jpg
0,40258,313,313,0-313,/home/dingchaofan/dataset/starfish/data/train_images/video_0/313.jpg
0,40258,314,314,0-314,/home/dingchaofan/dataset/starfish/data/train_images/video_0/314.jpg
0,40258,315,315,0-315,/home/dingchaofan/dataset/starfish/data/train_images/video_0/315.jpg
0,40258,316,316,0-316,/home/dingchaofan/dataset/starfish/data/train_images/video_0/316.jpg
0,40258,317,317,0-317,/home/dingchaofan/dataset/starfish/data/train_images/video_0/317.jpg
0,40258,318,318,0-318,/home/dingchaofan/dataset/starfish/data/train_images/video_0/318.jpg
0,40258,319,319,0-319,/home/dingchaofan/dataset/starfish/data/train_images/video_0/319.jpg
0,40258,320,320,0-320,/home/dingchaofan/dataset/starfish/data/train_images/video_0/320.jpg
0,40258,321,321,0-321,/home/dingchaofan/dataset/starfish/data/train_images/video_0/321.jpg
0,40258,322,322,0-322,/home/dingchaofan/dataset/starfish/data/train_images/video_0/322.jpg
0,40258,323,323,0-323,/home/dingchaofan/dataset/starfish/data/train_images/video_0/323.jpg
0,40258,324,324,0-324,/home/dingchaofan/dataset/starfish/data/train_images/video_0/324.jpg
